objectid,classification,beginyear
0,Painting,1310.0
1,Painting,1333.0
600,Print,1511.0
17,Painting,1430.0
19,Painting,1450.0
29,Painting,1482.0
652,Print,1480.0
681,Print,1508.0
58,Painting,1653.0
49,Painting,1470.0
59,Painting,1569.0
601,Print,1510.0
52,Painting,1475.0
61,Painting,1925.0
62,Painting,1925.0
72,Painting,1527.0
75,Painting,1636.0
77,Painting,1646.0
80,Painting,1637.0
87,Painting,1650.0
88,Painting,1640.0
89,Painting,1650.0
90,Painting,1603.0
94,Painting,1799.0
560,Painting,1787.0
93,Painting,1799.0
112,Painting,1782.0
561,Painting,1789.0
139,Sculpture,1580.0
272,Painting,1335.0
294,Painting,1470.0
365,Painting,1475.0
368,Painting,1473.0
400,Painting,1520.0
426,Painting,1480.0
494,Painting,1540.0
526,Painting,1530.0
531,Painting,1527.0
567,Painting,1806.0
650,Print,1480.0
992,Painting,1804.0
1044,Print,1927.0
1002,Sculpture,1904.0
1069,Print,1860.0
1070,Print,1877.0
1117,Painting,1803.0
1135,Painting,1749.0
8927,Print,1916.0
1144,Painting,1743.0
1145,Painting,1450.0
1149,Painting,1872.0
1166,Painting,1780.0
1170,Painting,1662.0
1182,Painting,1791.0
1180,Painting,1875.0
1181,Painting,1495.0
2265,Drawing,1769.0
1194,Painting,1863.0
1195,Painting,1790.0
1205,Painting,1653.0
1212,Painting,1785.0
1218,Painting,1770.0
1221,Painting,1560.0
1222,Painting,1560.0
1228,Painting,1626.0
1227,Painting,1628.0
1229,Painting,1625.0
1230,Painting,1626.0
1231,Painting,1623.0
11500,Drawing,1804.0
11506,Drawing,1780.0
12126,Painting,1545.0
12129,Painting,1740.0
12137,Painting,1762.0
12190,Sculpture,1425.0
12193,Print,1698.0
30207,Print,1720.0
30208,Print,1720.0
30222,Print,1766.0
30221,Painting,1799.0
30666,Drawing,1792.0
30777,Print,1794.0
30778,Print,1796.0
30779,Print,1795.0
30780,Print,1797.0
32436,Print,1836.0
32566,Print,1838.0
32679,Painting,1765.0
32682,Painting,1756.0
32686,Painting,1759.0
33251,Print,1894.0
33353,Print,1927.0
37002,Print,1879.0
37005,Painting,1904.0
37006,Drawing,1837.0
37007,Print,1520.0
37636,Painting,1520.0
